Area,Price,Distance,School,cost_rank,distance_rank,Weighted average
Hulme,207480,3.2,1,4,6,3.2
Gorton,182686,3.9,1,6,5,3.15
Hollinwood,153963,4.7,1,6,5,3.15
Levenshulme,237285,3.4,1,3,6,3.05
Moston,187895,3.4,0,6,6,3
Harpurhey,125939,2.5,0,6,6,3
Openshaw,171647,3.3,0,6,6,3
Newton Heath,171143,3.3,0,6,6,3
Blackley,211867,3.7,1,4,5,2.85
Drolysden,217212,3.9,1,4,5,2.85
Longsight,197508,2.9,0,5,6,2.85
Bradford,202645,1.5,0,5,6,2.85
Cheetham Hill,204683,1.6,0,5,6,2.85
Failsworth,202053,3.3,0,5,6,2.85
Moss Side,194261,3.5,0,5,6,2.85
Belle Vue,201785,3.1,0,5,6,2.85
Strangeways,200022,0.9,0,5,6,2.85
Beswick,202645,1.8,0,5,6,2.85
Collyhurst,224165,1,0,4,6,2.7
Ardwick,204743,1.7,0,4,6,2.7
Rusholme,212673,3.1,0,4,6,2.7
Dukinfield,200653,7.3,1,5,4,2.65
Oldham,199906,7.5,1,5,4,2.65
Salford Quays,179814,3.9,0,6,5,2.65
Crumpsall,234619,3.4,0,3,6,2.55
Ancoats,267545,0.2,0,3,6,2.55
Burnage,305193,4.2,1,2,5,2.55
Miles Platting,252222,1.1,0,3,6,2.55
City Centre,256166,0.7,0,3,6,2.55
Eccles,229235,6.2,1,4,4,2.5
Ashton-under-Lyne,188776,8.7,1,6,3,2.45
Castlefield,300560,3.1,0,2,6,2.4
Audenshaw,221088,5.5,0,4,5,2.35
Middleton,205010,5.4,0,4,5,2.35
Wythenshaw,248329,7.7,1,3,4,2.35
Castleton,172856,8,0,6,4,2.3
Pendlebury,243665,4.8,0,3,5,2.2
Kersal,244601,3.6,0,3,5,2.2
Swinton,252444,6,0,3,5,2.2
Broughton,244601,3.7,0,3,5,2.2
Heaton Moor,326092,6.2,1,2,4,2.2
Fallowfield,241514,5.4,0,3,5,2.2
Reddish,234220,5.5,0,3,5,2.2
Stockport,317968,7.5,1,2,4,2.2
Chadderton,189559,6.3,0,5,4,2.15
Kearsley,191514,8,0,5,4,2.15
Old Trafford,290356,4,0,2,5,2.05
Whitefield,274705,6,0,2,5,2.05
Whalley Range,321763,4.1,0,2,5,2.05
Withington,319124,5.3,0,2,5,2.05
Sale,381530,7.5,1,1,4,2.05
Prestwich,283896,4,0,2,5,2.05
Stretford,304937,5.2,0,2,5,2.05
Hyde,216494,7.3,0,4,4,2
Denton,208428,6.1,0,4,4,2
Chorlton,342980,5.3,0,1,5,1.9
Firswood,356228,4.8,0,1,5,1.9
Baguley,254098,8.1,0,3,4,1.85
Unsworth,250131,6.5,0,3,4,1.85
Shaw,203193,9.8,0,5,3,1.8
Lees,192054,8.5,0,5,3,1.8
Wigan,186572,21,1,6,1,1.75
Northenden,284219,7.5,0,2,4,1.7
Heaton Norris,300921,6.3,0,2,4,1.7
Parrs Wood,323749,6.1,0,2,4,1.7
Cheadle Hulme,365327,9.1,1,1,3,1.7
Altrincham,516148,11,1,1,3,1.7
Peel Green,226101,8.4,0,4,3,1.65
Royton,209530,8.4,0,4,3,1.65
Astley,223517,11,0,4,3,1.65
Bolton,231827,13,1,3,2,1.65
Golborne,195874,18,1,5,1,1.6
Partington,184210,12,0,6,2,1.6
Little Hulton,173897,13,0,6,2,1.6
Newhey,188429,13,0,6,2,1.6
Farnworth,154729,11,0,6,2,1.6
Heaton Chapel,358329,6.5,0,1,4,1.55
Cheadle,352547,7.7,0,1,4,1.55
Ashton upon Mersey,389746,8.1,0,1,4,1.55
Heaton Mersey,360970,6.5,0,1,4,1.55
Didsbury,359631,6.5,0,1,4,1.55
Irlam,236993,11,0,3,3,1.5
Walkden,258081,8.7,0,3,3,1.5
Radcliffe,231989,8.2,0,3,3,1.5
Heywood,192545,12,0,5,2,1.45
Little Lever,199038,13,0,5,2,1.45
Milnrow,189338,13,0,5,2,1.45
Romiley,272475,10,0,2,3,1.35
Boothstown,307055,9.5,0,2,3,1.35
Urmston,327779,8.7,0,2,3,1.35
Worsley,281581,8.4,0,2,3,1.35
Stalybridge,228103,11,0,4,2,1.3
Cadishead,211415,13,0,4,2,1.3
Mossley,219529,12,0,4,2,1.3
Tyldesley,225546,12,0,4,2,1.3
Ashton-in-Makerfield,164676,22,0,6,1,1.25
Blackrod,184067,18,0,6,1,1.25
Platt Bridge,148603,19,0,6,1,1.25
Pemberton,147142,27,0,6,1,1.25
Leigh,170302,15,0,6,1,1.25
Ince,130709,22,0,6,1,1.25
Hindley,173806,18,0,6,1,1.25
Abram,169959,20,0,6,1,1.25
Gatley,368872,9,0,1,3,1.2
Timperley,379667,9.7,0,1,3,1.2
Broadheath,349190,9.7,0,1,3,1.2
Brooklands,333293,9,0,1,3,1.2
Heald Green,353318,9.3,0,1,3,1.2
Flixton,331560,11,0,1,3,1.2
Davyhulme,331560,9.4,0,1,3,1.2
Tottington,259787,13,0,3,2,1.15
Bamford,257356,12,0,3,2,1.15
Edgeley,236249,15,0,3,2,1.15
Aspull,198061,19,0,5,1,1.1
Heaton,189051,15,0,5,1,1.1
Orrell,199272,27,0,5,1,1.1
Atherton,190773,15,0,5,1,1.1
Norden,283501,14,0,2,2,1
Broadbottom,277567,12,0,2,2,1
Saddleworth,267706,12,0,2,2,1
Hazel Grove,321533,12,0,2,2,1
Standish,212383,23,0,4,1,0.95
Shevington,225815,31,0,4,1,0.95
Horwich,224629,19,0,4,1,0.95
Littleborough,218097,16,0,4,1,0.95
Bramhall,494819,13,0,1,2,0.85
Hale,652546,13,0,1,2,0.85
Marple Bridge,472007,12,0,1,2,0.85
Westhoughton,229380,15,0,3,1,0.8
Ramsbottom,287856,15,0,2,1,0.65
Marple,371161,16,0,1,1,0.5
Bowdon,897758,16,0,1,1,0.5
